S.No,Employee ID,Description,SAM Account Name,Logon Name,Email Address,First Name,Last Name,Full Name,Display Name,Department,Sub Department,Sub Sub Department,Pager,IP Phone,Notes,Distinguished Name,Office,Title,Mobile,Band,Grade,When Created,When Changed,Domain Name,OU Name,Manager,Rep Mgr Emp ID,Rep Mgr Emp Name,Rep Mgr Emp Email ID,Manager Distinguished Name,DOJ,DOB,Zip Code,City,State/Province,Country,Company,Parent-Company,Account Status,Password Status,Account Expiry Time,Password Expiry Date,SFDC Portal ID,SFDC-HTSORGID,Days since password last set,Password Last Set,Pwd Never Expires Flag,ID Type,O365-E3 Exception
43,8SRYO4,Active Directory User,BIK2U_8SRYO4,1rsuj@company.com,user43@company.com,First43,Last43,First43 Last43,First43 Last43,Operations,SubDept3,SubSubDept1,7010,192.168.1.139,Sample Note,"CN=User43,OU=Dept3",Office3,Manager,9.19E+11,B2,Junior,22-10-2021,08-06-2020,COMPANY,OrgUnit3,Manager3,0XI5BJ,Manager3,manager3@company.com,"CN=Manager3,OU=Dept3",01-09-2023,16-12-1982,560398,Pune,Karnataka,USA,Bajaj Holding and Investment Limited,Bajaj Group,Inactive,Expired,17-04-2025,Never Expires,FFHHCMKT,LZKJ49YD,210,28-11-2023,Yes,Application,Yes
44,95E5IZ,Vendor Account,WNC21_95E5IZ,o0z5q@company.com,user44@company.com,First44,Last44,First44 Last44,First44 Last44,Sales,SubDept4,SubSubDept2,6362,192.168.1.149,Sample Note,"CN=User44,OU=Dept4",Office0,Manager,9.17E+11,B4,Senior,13-09-2022,28-10-2022,COMPANY,OrgUnit4,Manager4,Z42O83,Manager4,manager4@company.com,"CN=Manager4,OU=Dept4",07-02-2022,19-02-1989,438548,Delhi,Tamil Nadu,Canada,Bajaj Finserv Health Limited,Bajaj Group,Active,Expired,17-10-2025,Never Expires,261BW4A7,FQ9P965K,140,24-05-2020,Yes,Vendor,No
45,JN6FOK,Vendor Account,AREIY_JN6FOK,az39p@company.com,user45@company.com,First45,Last45,First45 Last45,First45 Last45,HR,SubDept0,SubSubDept0,8826,192.168.1.19,Sample Note,"CN=User45,OU=Dept0",Office1,Senior Analyst,9.19E+11,B1,Junior,,,,-,-,-,-,-,-,,,,,West Bengal,India,Bajaj Finserv Health Limited,Bajaj Group,Active,Expired,Never Expires,Never Expires,MH07WPH6,FE0MP2IX,127,09-05-2022,Yes,Vendor,No
46,2Y4XKS,Active Directory User,22INI_2Y4XKS,wc5am@company.com,user46@company.com,First46,Last46,First46 Last46,First46 Last46,Finance,SubDept1,SubSubDept1,3162,192.168.1.100,Sample Note,"CN=User46,OU=Dept1",Office2,Consultant,9.19E+11,B3,Senior,,,,-,-,-,-,-,-,,,,,West Bengal,UK,Vendor Company A,Vendor Group,Inactive,Expired,Never Expires,14-07-2025,ZCTWJLSH,3TOW4YCZ,122,30-03-2020,No,Application,Yes
47,DPQVL0,Active Directory User,F8S2Z_DPQVL0,ge2j5@company.com,user47@company.com,First47,Last47,First47 Last47,First47 Last47,IT,SubDept2,SubSubDept2,6488,192.168.1.207,Sample Note,"CN=User47,OU=Dept2",Office3,Engineer,9.18E+11,B1,Junior,,,,-,-,-,-,-,-,,,,,Maharashtra,Canada,Bajaj Finserv Direct Limited,Bajaj Group,Active,Valid,Never Expires,Never Expires,0A4ABN7G,8B2ZXII6,163,25-02-2021,Yes,Generic,Yes
48,UEYBIS,Vendor Account,LTAHU_UEYBIS,kwqvr@company.com,user48@company.com,First48,Last48,First48 Last48,First48 Last48,HR,SubDept3,SubSubDept0,9954,192.168.1.195,Sample Note,"CN=User48,OU=Dept3",Office0,Senior Analyst,9.18E+11,B1,Senior,,,,-,-,-,-,-,-,,,,,Maharashtra,USA,Bajaj Finance Limited,Bajaj Group,Active,Expired,19-05-2025,30-01-2025,RC9ZD76S,ZN9DDE3C,290,06-04-2020,No,Vendor,No
49,XEK47O,Active Directory User,7E1DD_XEK47O,qlem1@company.com,user49@company.com,First49,Last49,First49 Last49,First49 Last49,Sales,SubDept4,SubSubDept1,6051,192.168.1.119,Sample Note,"CN=User49,OU=Dept4",Office1,Executive,9.18E+11,B1,Junior,01-09-2020,08-06-2023,COMPANY,OrgUnit9,Manager9,Y3ZB4L,Manager9,manager9@company.com,"CN=Manager9,OU=Dept4",21-05-2020,11-06-1988,473023,Bangalore,West Bengal,India,Bajaj Finserv Ventures Limited,Bajaj Group,Inactive,Expired,Never Expires,14-08-2025,3G84UTDD,2EC2IHOY,330,10-05-2020,No,Consultant,No
50,7C9HX3,Active Directory User,GU3OB_7C9HX3,yghgk@company.com,user50@company.com,First50,Last50,First50 Last50,First50 Last50,HR,SubDept0,SubSubDept2,1567,192.168.1.158,Sample Note,"CN=User50,OU=Dept0",Office2,Consultant,9.20E+11,B2,Senior,02-10-2022,03-04-2021,COMPANY,OrgUnit0,Manager0,R5RDNP,Manager0,manager0@company.com,"CN=Manager0,OU=Dept0",25-09-2022,21-11-1997,361250,Chennai,Maharashtra,Germany,Bajaj Housing Finance Limited,Bajaj Group,Inactive,Expired,Never Expires,Never Expires,TR6SNGLH,62C9T199,51,20-01-2021,Yes,Consultant,Yes
51,J37C9H,Active Directory User,3Z6BZ_J37C9H,8uug9@company.com,user51@company.com,First51,Last51,First51 Last51,First51 Last51,Sales,SubDept1,SubSubDept0,9882,192.168.1.80,Sample Note,"CN=User51,OU=Dept1",Office3,Senior Analyst,9.19E+11,B1,Junior,20-05-2020,28-03-2020,COMPANY,OrgUnit1,Manager1,IHSA7H,Manager1,manager1@company.com,"CN=Manager1,OU=Dept1",21-07-2020,05-08-1991,851763,Mumbai,Tamil Nadu,India,Bajaj Finserv Limited,Bajaj Group,Active,Valid,26-04-2025,Never Expires,V71448N7,ODKEF828,332,07-05-2021,Yes,Consultant,Yes
52,ZU6WMX,Vendor Account,088O9_ZU6WMX,8bv78@company.com,user52@company.com,First52,Last52,First52 Last52,First52 Last52,HR,SubDept2,SubSubDept1,2705,192.168.1.240,Sample Note,"CN=User52,OU=Dept2",Office0,Engineer,9.18E+11,B3,Senior,03-03-2023,30-04-2020,COMPANY,OrgUnit2,Manager2,I9G5DZ,Manager2,manager2@company.com,"CN=Manager2,OU=Dept2",19-09-2022,04-06-1991,568325,Pune,Tamil Nadu,USA,Bajaj Finserv Direct Limited,Bajaj Group,Active,Valid,Never Expires,01-06-2025,M2ZBPPFO,5MN32U1I,231,24-04-2020,No,Vendor,Yes
53,KL8CGN,Active Directory User,ZPXVP_KL8CGN,bl9ot@company.com,user53@company.com,First53,Last53,First53 Last53,First53 Last53,Operations,SubDept3,SubSubDept2,5346,192.168.1.170,Sample Note,"CN=User53,OU=Dept3",Office1,Executive,9.18E+11,B2,Junior,29-05-2020,18-03-2020,COMPANY,OrgUnit3,Manager3,OTRBAD,Manager3,manager3@company.com,"CN=Manager3,OU=Dept3",03-07-2023,03-06-2000,603660,Mumbai,Maharashtra,India,Bajaj Housing Finance Limited,Bajaj Group,Active,Valid,26-10-2025,11-02-2025,W9RE2Q6J,XNNNGBPJ,137,26-05-2022,No,Employee,Yes
54,FZDY3O,Active Directory User,8Y7UI_FZDY3O,ko4bu@company.com,user54@company.com,First54,Last54,First54 Last54,First54 Last54,Operations,SubDept4,SubSubDept0,3415,192.168.1.31,Sample Note,"CN=User54,OU=Dept4",Office2,Engineer,9.18E+11,B2,Senior,25-11-2020,09-06-2023,COMPANY,OrgUnit4,Manager4,GBCYH3,Manager4,manager4@company.com,"CN=Manager4,OU=Dept4",17-08-2020,30-03-2000,370413,Delhi,Maharashtra,India,Vendor Company B,Vendor Group,Inactive,Expired,12-07-2025,Never Expires,T4S7AZV2,EFUU8DD2,146,09-09-2023,Yes,Application,No
55,5JXURG,Active Directory User,6LI07_5JXURG,6a3kk@company.com,user55@company.com,First55,Last55,First55 Last55,First55 Last55,Sales,SubDept0,SubSubDept1,2609,192.168.1.249,Sample Note,"CN=User55,OU=Dept0",Office3,Senior Analyst,9.18E+11,B3,Junior,01-03-2023,19-11-2021,COMPANY,OrgUnit5,Manager5,1L0VDP,Manager5,manager5@company.com,"CN=Manager5,OU=Dept0",19-11-2023,08-11-1993,876936,Bangalore,West Bengal,UK,Bajaj Finserv Limited,Bajaj Group,Active,Valid,14-01-2025,07-11-2025,CZO2SUG5,HCBBMHNQ,203,14-09-2022,No,Application,Yes
56,YIRQ8R,Active Directory User,KNFU8_YIRQ8R,4xyjo@company.com,user56@company.com,First56,Last56,First56 Last56,First56 Last56,IT,SubDept1,SubSubDept2,1145,192.168.1.122,Sample Note,"CN=User56,OU=Dept1",Office0,Senior Analyst,9.20E+11,B2,Senior,22-07-2022,29-05-2023,COMPANY,OrgUnit6,Manager6,AJ2K8X,Manager6,manager6@company.com,"CN=Manager6,OU=Dept1",20-10-2021,22-10-1992,992952,Delhi,Delhi,UK,Vendor Company A,Vendor Group,Active,Expired,Never Expires,Never Expires,KSWVA984,UVKYRMJL,141,09-02-2021,Yes,Consultant,No
57,GSIC43,Active Directory User,9JPNB_GSIC43,zug0i@company.com,user57@company.com,First57,Last57,First57 Last57,First57 Last57,Operations,SubDept2,SubSubDept0,8794,192.168.1.233,Sample Note,"CN=User57,OU=Dept2",Office1,Executive,9.19E+11,B3,Junior,06-08-2023,21-09-2020,COMPANY,OrgUnit7,Manager7,45GDEJ,Manager7,manager7@company.com,"CN=Manager7,OU=Dept2",09-06-2023,08-01-1999,899977,Mumbai,Tamil Nadu,India,Bajaj Finserv Limited,Bajaj Group,Active,Expired,08-01-2025,Never Expires,I5P5NVQE,BWUWQHEY,271,08-04-2021,Yes,Consultant,No
58,B4EHOU,Active Directory User,L9LCQ_B4EHOU,h1uf2@company.com,user58@company.com,First58,Last58,First58 Last58,First58 Last58,IT,SubDept3,SubSubDept1,3120,192.168.1.158,Sample Note,"CN=User58,OU=Dept3",Office2,Engineer,9.20E+11,B4,Senior,18-09-2021,28-10-2021,COMPANY,OrgUnit8,Manager8,8NBHNA,Manager8,manager8@company.com,"CN=Manager8,OU=Dept3",15-05-2021,25-01-1998,299834,Pune,Maharashtra,USA,Bajaj Holding and Investment Limited,Bajaj Group,Active,Expired,05-02-2025,Never Expires,LDSLCB8Q,SSPYE9R1,84,09-11-2023,Yes,Application,No
59,AI9HAS,Active Directory User,1WVBD_AI9HAS,4bepe@company.com,user59@company.com,First59,Last59,First59 Last59,First59 Last59,Finance,SubDept4,SubSubDept2,8772,192.168.1.180,Sample Note,"CN=User59,OU=Dept4",Office3,Senior Analyst,9.18E+11,B1,Junior,12-04-2021,15-10-2021,COMPANY,OrgUnit9,Manager9,XXJVE3,Manager9,manager9@company.com,"CN=Manager9,OU=Dept4",11-06-2020,28-05-1997,853681,Chennai,Maharashtra,UK,Bajaj Housing Finance Limited,Bajaj Group,Active,Valid,06-07-2025,Never Expires,RV239MOF,T6YRIADD,293,05-11-2022,Yes,Consultant,No
60,FDS0DJ,Vendor Account,DGBK2_FDS0DJ,l0d1b@company.com,user60@company.com,First60,Last60,First60 Last60,First60 Last60,HR,SubDept0,SubSubDept0,3793,192.168.1.85,Sample Note,"CN=User60,OU=Dept0",Office0,Executive,9.19E+11,B3,Senior,26-09-2023,12-02-2023,COMPANY,OrgUnit0,Manager0,D3GO8J,Manager0,manager0@company.com,"CN=Manager0,OU=Dept0",22-08-2021,09-04-1996,938754,Bangalore,Karnataka,India,Bajaj Finserv Health Limited,Bajaj Group,Active,Valid,Never Expires,26-05-2025,94D6RUPW,2W5506RR,210,15-11-2021,No,Vendor,Yes
61,CXA5S0,Active Directory User,P0RXX_CXA5S0,f36wa@company.com,user61@company.com,First61,Last61,First61 Last61,First61 Last61,HR,SubDept1,SubSubDept1,9283,192.168.1.218,Sample Note,"CN=User61,OU=Dept1",Office1,Engineer,9.19E+11,B2,Junior,26-04-2020,13-03-2023,COMPANY,OrgUnit1,Manager1,RI8BIX,Manager1,manager1@company.com,"CN=Manager1,OU=Dept1",18-09-2021,30-12-1987,182659,Bangalore,Delhi,Canada,Vendor Company B,Vendor Group,Inactive,Valid,Never Expires,03-12-2025,4QERXDOU,ADVWKSHY,174,18-07-2021,No,Application,Yes
62,34L1VZ,Vendor Account,AMW2T_34L1VZ,nd6r3@company.com,user62@company.com,First62,Last62,First62 Last62,First62 Last62,Sales,SubDept2,SubSubDept2,2752,192.168.1.66,Sample Note,"CN=User62,OU=Dept2",Office2,Consultant,9.18E+11,B2,Senior,06-07-2020,16-12-2023,COMPANY,OrgUnit2,Manager2,4H3GM1,Manager2,manager2@company.com,"CN=Manager2,OU=Dept2",13-03-2020,13-01-2000,229204,Bangalore,Delhi,Canada,Bajaj Finserv Ventures Limited,Bajaj Group,Active,Expired,Never Expires,Never Expires,A0TPV726,YG3DXVL5,214,04-08-2022,Yes,Vendor,Yes
63,J88QEO,Active Directory User,HWKMY_J88QEO,9x8sy@company.com,user63@company.com,First63,Last63,First63 Last63,First63 Last63,Finance,SubDept3,SubSubDept0,2890,192.168.1.195,Sample Note,"CN=User63,OU=Dept3",Office3,Executive,9.19E+11,B4,Junior,24-06-2022,05-06-2022,COMPANY,OrgUnit3,Manager3,7ZY6T5,Manager3,manager3@company.com,"CN=Manager3,OU=Dept3",18-10-2021,07-06-1980,648122,Pune,Maharashtra,Germany,Vendor Company A,Vendor Group,Active,Valid,Never Expires,20-12-2025,YH1FKJ4Y,K1B3D505,331,21-05-2022,No,Consultant,No
64,I22KX7,Vendor Account,AJW25_I22KX7,36zx1@company.com,user64@company.com,First64,Last64,First64 Last64,First64 Last64,Operations,SubDept4,SubSubDept1,4218,192.168.1.199,Sample Note,"CN=User64,OU=Dept4",Office0,Senior Analyst,9.18E+11,B4,Senior,02-10-2020,26-11-2022,COMPANY,OrgUnit4,Manager4,C80EBK,Manager4,manager4@company.com,"CN=Manager4,OU=Dept4",14-02-2021,04-06-1984,268746,Chennai,Tamil Nadu,India,Bajaj Finserv Limited,Bajaj Group,Inactive,Expired,Never Expires,11-12-2025,ZFFLB7WX,RUM2LHGC,258,04-09-2020,No,Vendor,No
65,TOM5XL,Active Directory User,EMIX7_TOM5XL,ib5n2@company.com,user65@company.com,First65,Last65,First65 Last65,First65 Last65,IT,SubDept0,SubSubDept2,7322,192.168.1.66,Sample Note,"CN=User65,OU=Dept0",Office1,Consultant,9.18E+11,B1,Junior,16-11-2023,13-03-2022,COMPANY,OrgUnit5,Manager5,3N2QB6,Manager5,manager5@company.com,"CN=Manager5,OU=Dept0",26-10-2020,24-11-1990,638857,Pune,Maharashtra,USA,Bajaj Financial Securities Limited,Bajaj Group,Active,Valid,Never Expires,07-11-2025,HWHY4H35,0P3CYAZB,37,25-03-2020,No,Application,Yes
66,2UUIJN,Vendor Account,TXW1V_2UUIJN,zc7d2@company.com,user66@company.com,First66,Last66,First66 Last66,First66 Last66,Finance,SubDept1,SubSubDept0,2417,192.168.1.73,Sample Note,"CN=User66,OU=Dept1",Office2,Engineer,9.19E+11,B4,Senior,01-07-2023,23-10-2022,COMPANY,OrgUnit6,Manager6,BFH024,Manager6,manager6@company.com,"CN=Manager6,OU=Dept1",03-04-2021,25-11-1984,412534,Delhi,Maharashtra,Canada,Bajaj Finserv Limited,Bajaj Group,Active,Valid,Never Expires,Never Expires,BUOTDH00,H64FGWJE,343,27-05-2023,Yes,Vendor,Yes
67,479QTK,Active Directory User,8MYIK_479QTK,cgrlx@company.com,user67@company.com,First67,Last67,First67 Last67,First67 Last67,Operations,SubDept2,SubSubDept1,3496,192.168.1.145,Sample Note,"CN=User67,OU=Dept2",Office3,Consultant,9.19E+11,B3,Junior,27-10-2021,18-09-2020,COMPANY,OrgUnit7,Manager7,AIH0P4,Manager7,manager7@company.com,"CN=Manager7,OU=Dept2",27-07-2020,13-04-1991,603268,Bangalore,Delhi,UK,Bajaj Housing Finance Limited,Bajaj Group,Inactive,Expired,19-10-2025,Never Expires,TGV44FTJ,5CCASBUO,302,26-11-2020,Yes,Consultant,Yes
68,TT9Q1N,Active Directory User,OSX43_TT9Q1N,wfsqg@company.com,user68@company.com,First68,Last68,First68 Last68,First68 Last68,Operations,SubDept3,SubSubDept2,3395,192.168.1.189,Sample Note,"CN=User68,OU=Dept3",Office0,Engineer,9.19E+11,B1,Senior,05-12-2020,28-03-2023,COMPANY,OrgUnit8,Manager8,RCNBH6,Manager8,manager8@company.com,"CN=Manager8,OU=Dept3",15-07-2021,16-03-1993,592489,Bangalore,Maharashtra,India,Bajaj Finserv Health Limited,Bajaj Group,Inactive,Valid,Never Expires,Never Expires,ZS34JTGX,NX4SN6SM,176,26-01-2022,Yes,Employee,No
69,5A5PIS,Active Directory User,V3XOL_5A5PIS,eyrvx@company.com,user69@company.com,First69,Last69,First69 Last69,First69 Last69,Sales,SubDept4,SubSubDept0,1367,192.168.1.63,Sample Note,"CN=User69,OU=Dept4",Office1,Manager,9.18E+11,B2,Junior,28-07-2020,04-09-2022,COMPANY,OrgUnit9,Manager9,S6FF7S,Manager9,manager9@company.com,"CN=Manager9,OU=Dept4",21-09-2021,23-05-2000,690982,Pune,Tamil Nadu,India,Bajaj Financial Securities Limited,Bajaj Group,Active,Expired,16-03-2025,Never Expires,VQRHOFU1,WSGY7VCN,67,17-06-2020,Yes,Application,Yes
70,H4SPFD,Active Directory User,DX6TA_H4SPFD,7ypp5@company.com,user70@company.com,First70,Last70,First70 Last70,First70 Last70,Operations,SubDept0,SubSubDept1,8028,192.168.1.59,Sample Note,"CN=User70,OU=Dept0",Office2,Engineer,9.19E+11,B3,Senior,04-07-2022,03-06-2023,COMPANY,OrgUnit0,Manager0,01ZDER,Manager0,manager0@company.com,"CN=Manager0,OU=Dept0",27-12-2020,07-11-1982,397026,Chennai,West Bengal,Germany,Bajaj Holding and Investment Limited,Bajaj Group,Inactive,Valid,Never Expires,Never Expires,A0ASSNH2,ODPVJTUW,348,09-09-2021,Yes,Employee,Yes
71,O2RNTJ,Active Directory User,0QZFH_O2RNTJ,omtzz@company.com,user71@company.com,First71,Last71,First71 Last71,First71 Last71,HR,SubDept1,SubSubDept2,7375,192.168.1.247,Sample Note,"CN=User71,OU=Dept1",Office3,Manager,9.17E+11,B2,Junior,02-01-2022,09-12-2023,COMPANY,OrgUnit1,Manager1,VDJNV0,Manager1,manager1@company.com,"CN=Manager1,OU=Dept1",16-12-2023,19-08-1993,743789,Chennai,Tamil Nadu,Canada,Bajaj Financial Securities Limited,Bajaj Group,Active,Valid,Never Expires,20-06-2025,XPHX2KBV,SIGBIAF9,204,02-07-2021,No,Employee,No
72,OHAZ7T,Active Directory User,VH7UJ_OHAZ7T,odck8@company.com,user72@company.com,First72,Last72,First72 Last72,First72 Last72,Operations,SubDept2,SubSubDept0,5222,192.168.1.225,Sample Note,"CN=User72,OU=Dept2",Office0,Consultant,9.19E+11,B3,Senior,14-12-2022,18-11-2021,COMPANY,OrgUnit2,Manager2,8U118Q,Manager2,manager2@company.com,"CN=Manager2,OU=Dept2",16-12-2021,19-12-1999,128679,Bangalore,Maharashtra,UK,Vendor Company A,Vendor Group,Active,Expired,Never Expires,22-06-2025,W9YIL8SA,3IDY3C7R,181,05-12-2020,No,Employee,No
73,G07G0I,Active Directory User,4M2EC_G07G0I,8ra48@company.com,user73@company.com,First73,Last73,First73 Last73,First73 Last73,Sales,SubDept3,SubSubDept1,7081,192.168.1.159,Sample Note,"CN=User73,OU=Dept3",Office1,Executive,9.19E+11,B3,Junior,01-02-2022,11-10-2020,COMPANY,OrgUnit3,Manager3,96KHUB,Manager3,manager3@company.com,"CN=Manager3,OU=Dept3",26-05-2023,26-05-1994,601554,Chennai,Maharashtra,Canada,Bajaj Finserv Health Limited,Bajaj Group,Inactive,Expired,Never Expires,Never Expires,41QESLAY,NDN5GJJ8,175,22-07-2021,Yes,Consultant,Yes
74,RHZN4K,Active Directory User,2T4H2_RHZN4K,0rape@company.com,user74@company.com,First74,Last74,First74 Last74,First74 Last74,Operations,SubDept4,SubSubDept2,9748,192.168.1.185,Sample Note,"CN=User74,OU=Dept4",Office2,Executive,9.19E+11,B3,Senior,24-01-2021,23-05-2022,COMPANY,OrgUnit4,Manager4,4BDFHJ,Manager4,manager4@company.com,"CN=Manager4,OU=Dept4",27-07-2023,11-04-1983,571706,Delhi,Tamil Nadu,UK,Bajaj Finserv Direct Limited,Bajaj Group,Inactive,Expired,15-02-2025,Never Expires,MOMYVUXT,9KLS1QCW,237,08-09-2022,Yes,Employee,Yes
75,5X7PWO,Active Directory User,LKJXJ_5X7PWO,q5nv8@company.com,user75@company.com,First75,Last75,First75 Last75,First75 Last75,Sales,SubDept0,SubSubDept0,3741,192.168.1.48,Sample Note,"CN=User75,OU=Dept0",Office3,Manager,9.18E+11,B2,Junior,25-10-2022,25-01-2021,COMPANY,OrgUnit5,Manager5,7ZCGDC,Manager5,manager5@company.com,"CN=Manager5,OU=Dept0",26-09-2023,06-02-1996,675074,Pune,Maharashtra,Germany,Bajaj Housing Finance Limited,Bajaj Group,Active,Valid,21-04-2025,18-03-2025,JFX5LIKW,E4BX4LR9,276,23-12-2023,No,Generic,No
76,TE8TVQ,Vendor Account,T2PNJ_TE8TVQ,ka34m@company.com,user76@company.com,First76,Last76,First76 Last76,First76 Last76,Sales,SubDept1,SubSubDept1,9767,192.168.1.3,Sample Note,"CN=User76,OU=Dept1",Office0,Engineer,9.19E+11,B3,Senior,15-01-2020,04-04-2023,COMPANY,OrgUnit6,Manager6,PKIANO,Manager6,manager6@company.com,"CN=Manager6,OU=Dept1",20-05-2022,15-11-1994,513927,Mumbai,Karnataka,Germany,Vendor Company B,Vendor Group,Inactive,Valid,21-06-2025,20-09-2025,JPI163YK,03O4GKWW,139,24-12-2022,No,Vendor,No
77,GABTGD,Active Directory User,FRML2_GABTGD,9q2l4@company.com,user77@company.com,First77,Last77,First77 Last77,First77 Last77,HR,SubDept2,SubSubDept2,1918,192.168.1.69,Sample Note,"CN=User77,OU=Dept2",Office1,Engineer,9.17E+11,B4,Junior,09-10-2020,25-10-2020,COMPANY,OrgUnit7,Manager7,6JNA9Z,Manager7,manager7@company.com,"CN=Manager7,OU=Dept2",20-08-2021,26-01-1995,359168,Pune,Karnataka,Germany,Bajaj Financial Securities Limited,Bajaj Group,Active,Valid,Never Expires,Never Expires,RYLLWB7S,JWH55HEW,166,24-01-2020,Yes,-,Yes
78,2VOI8U,Active Directory User,FDW79_2VOI8U,wcxz2@company.com,user78@company.com,First78,Last78,First78 Last78,First78 Last78,HR,SubDept3,SubSubDept0,8992,192.168.1.60,Sample Note,"CN=User78,OU=Dept3",Office2,Executive,9.19E+11,B3,Senior,05-06-2023,17-10-2023,COMPANY,OrgUnit8,Manager8,PGYME6,Manager8,manager8@company.com,"CN=Manager8,OU=Dept3",23-01-2022,20-11-1994,686179,Delhi,West Bengal,Germany,Bajaj Holding and Investment Limited,Bajaj Group,Active,Valid,Never Expires,15-03-2025,TLQ5V4FT,Q3TQ1S05,317,24-08-2023,No,-,No
79,1IZXTN,Vendor Account,LXDSC_1IZXTN,4e5hr@company.com,user79@company.com,First79,Last79,First79 Last79,First79 Last79,IT,SubDept4,SubSubDept1,1521,192.168.1.147,Sample Note,"CN=User79,OU=Dept4",Office3,Engineer,9.20E+11,B4,Junior,27-03-2022,27-08-2022,COMPANY,OrgUnit9,Manager9,ZJNVC7,Manager9,manager9@company.com,"CN=Manager9,OU=Dept4",20-11-2020,19-09-1996,972496,Pune,Delhi,India,Vendor Company A,Vendor Group,Inactive,Expired,04-11-2025,Never Expires,32CWT04C,HSDINGXU,91,17-05-2022,Yes,-,No
80,01UYZP,Active Directory User,XTV76_01UYZP,t94ow@company.com,user80@company.com,First80,Last80,First80 Last80,First80 Last80,Finance,SubDept0,SubSubDept2,4943,192.168.1.145,Sample Note,"CN=User80,OU=Dept0",Office0,Consultant,9.18E+11,B4,Senior,04-04-2023,04-05-2022,COMPANY,OrgUnit0,Manager0,7J8QO0,Manager0,manager0@company.com,"CN=Manager0,OU=Dept0",17-03-2021,08-04-2000,117094,Chennai,Karnataka,UK,Bajaj Housing Finance Limited,Bajaj Group,Active,Expired,10-09-2025,28-03-2025,9HL1737S,UUDQFJ6I,131,13-06-2023,No,-,No
81,DO7002,Vendor Account,B3N27_DO7002,m5p7e@company.com,user81@company.com,First81,Last81,First81 Last81,First81 Last81,HR,SubDept1,SubSubDept0,1187,192.168.1.163,Sample Note,"CN=User81,OU=Dept1",Office1,Engineer,9.17E+11,B3,Junior,25-03-2022,04-03-2020,COMPANY,OrgUnit1,Manager1,LULZFY,Manager1,manager1@company.com,"CN=Manager1,OU=Dept1",02-09-2021,28-02-1995,889410,Chennai,West Bengal,Canada,Bajaj Finserv Direct Limited,Bajaj Group,Active,Valid,26-10-2025,Never Expires,P2FMR0TJ,OPZ1RHOU,287,14-08-2022,Yes,-,Yes
82,IJPYUE,Vendor Account,MX1GM_IJPYUE,32wp7@company.com,user82@company.com,First82,Last82,First82 Last82,First82 Last82,HR,SubDept2,SubSubDept1,4271,192.168.1.176,Sample Note,"CN=User82,OU=Dept2",Office2,Executive,9.18E+11,B1,Senior,23-06-2020,22-02-2023,COMPANY,OrgUnit2,Manager2,B8753A,Manager2,manager2@company.com,"CN=Manager2,OU=Dept2",13-12-2022,14-10-1983,419939,Bangalore,Delhi,India,Bajaj Finserv Limited,Bajaj Group,Inactive,Valid,02-04-2025,01-07-2025,0HT1TW9Z,YN6SJCHZ,138,23-03-2020,No,-,No
83,XANJ4X,Active Directory User,SZ6RV_XANJ4X,dh8uz@company.com,user83@company.com,First83,Last83,First83 Last83,First83 Last83,IT,SubDept3,SubSubDept2,5053,192.168.1.237,Sample Note,"CN=User83,OU=Dept3",Office3,Consultant,9.18E+11,B3,Junior,31-01-2022,03-09-2021,COMPANY,OrgUnit3,Manager3,0AYMK9,Manager3,manager3@company.com,"CN=Manager3,OU=Dept3",17-02-2022,21-05-1989,951331,Pune,Tamil Nadu,Germany,Bajaj Housing Finance Limited,Bajaj Group,Active,Expired,23-04-2025,24-05-2025,IMOE0SY5,YPUPLVQE,334,03-08-2020,No,-,Yes
84,5LZSE9,Active Directory User,G4FBL_5LZSE9,98k03@company.com,user84@company.com,First84,Last84,First84 Last84,First84 Last84,Finance,SubDept4,SubSubDept0,3489,192.168.1.200,Sample Note,"CN=User84,OU=Dept4",Office0,Senior Analyst,9.17E+11,B2,Senior,13-10-2020,10-02-2020,COMPANY,OrgUnit4,Manager4,1WJUII,Manager4,manager4@company.com,"CN=Manager4,OU=Dept4",03-12-2022,20-11-1980,476712,Pune,Delhi,USA,Bajaj Finserv Direct Limited,Bajaj Group,Inactive,Expired,Never Expires,16-03-2025,GNRFIO87,8IYHHG8P,315,31-01-2022,No,-,No
85,55P1V3,Vendor Account,Q3B9S_55P1V3,o0usw@company.com,user85@company.com,First85,Last85,First85 Last85,First85 Last85,IT,SubDept0,SubSubDept1,4110,192.168.1.75,Sample Note,"CN=User85,OU=Dept0",Office1,Engineer,9.19E+11,B3,Junior,16-04-2023,09-07-2023,COMPANY,OrgUnit5,Manager5,KFK7Y6,Manager5,manager5@company.com,"CN=Manager5,OU=Dept0",21-12-2021,15-05-1995,194834,Chennai,Maharashtra,USA,Bajaj Finserv Ventures Limited,Bajaj Group,Active,Expired,Never Expires,Never Expires,OQGVZHQJ,Y62ZEEQN,268,03-01-2023,Yes,Vendor,No
